INFO:root:1586702207.560062_model_moe_transformer.pt
INFO:root:Loading cached dataset...
INFO:root:Gating function is: moe
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch 13568 | lr 0.00 | ms/batch 231.69 | loss 13.75 | aux_loss  0.16 | ppl 933149.25
INFO:root:| epoch   1 | batch 13696 | lr 0.00 | ms/batch 230.23 | loss 13.74 | aux_loss  0.18 | ppl 923340.11
INFO:root:| epoch   1 | batch 13824 | lr 0.00 | ms/batch 230.43 | loss 13.74 | aux_loss  0.17 | ppl 930295.32
INFO:root:| epoch   1 | batch 13952 | lr 0.00 | ms/batch 229.35 | loss 13.74 | aux_loss  0.18 | ppl 923322.16
INFO:root:| epoch   1 | batch 14080 | lr 0.00 | ms/batch 229.38 | loss 13.74 | aux_loss  0.17 | ppl 924659.07
INFO:root:| epoch   1 | batch 14208 | lr 0.00 | ms/batch 233.46 | loss 13.75 | aux_loss  0.17 | ppl 934441.13
INFO:root:| epoch   1 | batch 14336 | lr 0.00 | ms/batch 233.41 | loss 13.74 | aux_loss  0.17 | ppl 926200.23
INFO:root:| epoch   1 | batch 14464 | lr 0.00 | ms/batch 232.27 | loss 13.75 | aux_loss  0.17 | ppl 939648.36
INFO:root:| epoch   1 | batch 14592 | lr 0.00 | ms/batch 232.33 | loss 13.74 | aux_loss  0.17 | ppl 928198.16
INFO:root:| epoch   1 | batch 14720 | lr 0.00 | ms/batch 231.84 | loss 13.75 | aux_loss  0.17 | ppl 931977.77
INFO:root:| epoch   1 | batch 14848 | lr 0.00 | ms/batch 231.48 | loss 13.76 | aux_loss  0.17 | ppl 948829.92
INFO:root:| epoch   1 | batch 14976 | lr 0.00 | ms/batch 229.38 | loss 13.75 | aux_loss  0.17 | ppl 937930.92
INFO:root:| epoch   1 | batch 15104 | lr 0.00 | ms/batch 227.88 | loss 13.76 | aux_loss  0.18 | ppl 945370.44
INFO:root:| epoch   1 | batch 15232 | lr 0.00 | ms/batch 227.83 | loss 13.74 | aux_loss  0.18 | ppl 927041.35
INFO:root:| epoch   1 | batch 15360 | lr 0.00 | ms/batch 229.85 | loss 13.75 | aux_loss  0.17 | ppl 933019.11
INFO:root:| epoch   1 | batch 15488 | lr 0.00 | ms/batch 229.79 | loss 13.75 | aux_loss  0.18 | ppl 932055.36
INFO:root:| epoch   1 | batch 15616 | lr 0.00 | ms/batch 230.25 | loss 13.74 | aux_loss  0.18 | ppl 923820.70
INFO:root:| epoch   1 | batch 15744 | lr 0.00 | ms/batch 232.22 | loss 13.73 | aux_loss  0.17 | ppl 922379.02
INFO:root:| epoch   1 | batch 15872 | lr 0.00 | ms/batch 230.55 | loss 13.74 | aux_loss  0.18 | ppl 926423.39
